,SLW-2019LS,group
ER165,1.26,validation
ER427,1.46,validation
ER298,1.5,validation
ER220,1.52,validation
ER005,1.36,validation
ER218,1.65,validation
ER368,1.54,validation
ER348,1.48,validation
ER233,1.6,validation
ER245,1.46,validation
ER002,1.1,validation
ER317,1.36,validation
