,EW,group
MG_342,102.4635083,training
MG_1466,72.86867402,training
MG_1141,68.02738443,training
MG_280,80.92028572,training
MG_238,82.74222093,training
MG_83,85.69963984,training
MG_332,74.3886738,training
MG_98,95.71770284,training
MG_657,117.7306028,training
MG_548,93.88970662,training
MG_208,68.30609407,training
MG_1058,99.85318609,training
MG_1409,88.03254272,training
MG_733,87.1964138,training
MG_398,71.12157751,training
MG_1223,96.04802538,training
MG_638,90.82480035,training
MG_1049,108.4531848,training
MG_1261,75.35641559,training
MG_864,107.997701,training
MG_899,77.85189909,training
MG_779,86.9886719,training
MG_115,82.47899516,training
MG_467,85.51641406,training
MG_408,76.54867347,training
MG_1020,58.54609553,training
MG_136,91.78480021,training
MG_546,101.7293148,training
MG_989,82.49447903,training
MG_107,86.44028488,training
MG_874,75.37189945,training
MG_1345,127.6609238,training
MG_582,89.53274187,training
MG_959,95.89299392,training
MG_839,87.97576853,training
MG_612,93.9396386,training
MG_1045,81.82520512,training
MG_910,101.9112503,training
MG_147,77.05447985,training
MG_603,100.3680247,training
MG_268,57.04237268,training
MG_751,101.7858884,training
MG_775,68.8789972,training
MG_199,105.9370561,training
MG_333,101.94996,training
MG_635,95.84673508,training
MG_447,73.46738361,training
MG_950,95.17576744,training
MG_469,79.94185171,training
MG_735,73.10598445,training
MG_514,75.54609298,training
MG_395,88.7009297,training
MG_721,70.06480348,training
MG_388,90.03512305,training
MG_1162,71.82688501,training
MG_991,95.30479968,training
MG_1056,99.5189926,training
MG_397,59.29309586,training
MG_145,68.10738442,training
MG_1131,118.1073769,training
MG_1316,97.06479942,training
MG_310,92.46609043,training
MG_379,104.9383466,training
MG_248,80.18923208,training
MG_566,61.1035145,training
MG_972,76.15559285,training
MG_1292,88.37834911,training
MG_806,103.0415727,training
MG_352,73.13448044,training
MG_320,75.62738329,training
MG_155,91.67641313,training
MG_732,98.59770241,training
MG_562,73.68415777,training
MG_931,88.70092971,training
MG_963,75.63512522,training
MG_1164,65.37190096,training
MG_209,79.64028591,training
MG_816,88.83512323,training
MG_1325,89.95770371,training
MG_319,96.08544472,training
MG_973,77.08388912,training
MG_575,78.1130564,training
MG_1486,54.26077812,training
MG_140,87.44931699,training
MG_961,69.20544877,training
MG_413,85.52931728,training
MG_1272,105.1938305,training
MG_1394,91.17576804,training
MG_780,105.9215723,training
MG_187,102.3396373,training
MG_55,89.38480057,training
MG_1476,83.3460918,training
MG_270,123.0002794,training
MG_1417,54.05890901,training
MG_956,86.64415582,training
MG_392,96.02738022,training
MG_1338,78.37062541,training
MG_58,68.96157784,training
MG_930,118.8454413,training
MG_702,84.07383363,training
MG_374,108.8118944,training
MG_1146,107.3615721,training
MG_799,78.60415703,training
MG_242,91.74867118,training
MG_699,104.6286692,training
MG_937,72.35254507,training
MG_1314,82.4942888,training
MG_846,92.88415488,training
MG_344,94.45611873,training
MG_549,80.13318906,training
MG_1117,83.82609173,training
MG_218,110.1383458,training
MG_219,80.89576959,training
MG_1304,92.01396147,training
MG_747,92.10609048,training
MG_1454,65.84932024,training
MG_753,95.00544489,training
MG_601,71.7889472,training
MG_876,101.9112503,training
MG_69,100.1615731,training
MG_493,66.30996533,training
MG_327,89.27770381,training
MG_85,132.2828586,training
MG_908,94.81963846,training
MG_142,97.33963808,training
MG_890,72.95641595,training
MG_709,112.5796358,training
MG_583,75.29887023,training
MG_1205,107.609314,training
MG_437,91.21189707,training
MG_949,85.65318823,training
MG_524,99.75512159,training
MG_723,98.30738067,training
MG_833,96.68544463,training
MG_520,96.31136662,training
MG_315,103.6660887,training
MG_285,76.69835087,training
MG_288,106.2364109,training
MG_394,89.04157482,training
MG_73,78.87125377,training
MG_1290,91.691897,training
MG_1414,105.0235079,training
MG_596,98.49963791,training
MG_126,106.4170561,training
MG_832,82.87125316,training
MG_384,92.94092907,training
MG_611,114.9641516,training
MG_923,88.93576838,training
MG_311,76.76544763,training
MG_116,97.49318645,training
MG_1235,97.55254128,training
MG_1407,84.90480125,training
MG_1181,63.54222381,training
MG_1011,108.1951203,training
MG_1077,89.18092963,training
MG_1430,86.50222036,training
MG_624,84.38996261,training
MG_1231,96.89834783,training
MG_1441,59.68854113,training
MG_72,87.60415568,training
MG_652,83.85137291,training
MG_367,75.94867356,training
MG_106,98.62867015,training
MG_172,84.70867224,training
MG_589,81.89576944,training
MG_371,94.50996109,training
MG_1211,51.08851717,training
MG_1066,108.0778756,training
MG_1172,71.79080356,training
MG_1483,81.80095904,training
MG_1144,100.533186,training
MG_605,100.3318957,training
MG_736,92.80573735,training
MG_1306,116.4893126,training
MG_1092,94.80028363,training
MG_1426,69.37964229,training
MG_860,90.39125203,training
MG_590,101.70996,training
MG_267,92.17318724,training
MG_893,98.42737986,training
MG_1173,65.98867506,training
MG_313,98.52028307,training
MG_569,113.0596357,training
MG_1239,112.5486681,training
MG_1474,73.25060945,training
MG_980,66.63383625,training
MG_998,92.64673557,training
MG_81,71.83383547,training
MG_146,108.3215719,training
MG_794,89.32802638,training
MG_1202,83.83125302,training
MG_1282,59.15049668,training
MG_507,67.76673931,training
MG_801,98.08846554,training
MG_389,87.46480086,training
MG_1258,111.7035069,training
MG_912,77.38480238,training
MG_411,77.89060875,training
MG_1097,110.9847973,training
MG_847,71.95770642,training
MG_748,91.53705831,training
MG_690,107.2067334,training
MG_1094,100.0815732,training
MG_1324,86.16931718,training
MG_1489,89.41910206,training
MG_715,81.68415656,training
MG_345,71.91899675,training
MG_946,93.10867098,training
MG_71,100.177057,training
MG_100,81.29289855,validation
MG_101,90.3835101,validation
MG_103,92.91512262,validation
MG_1041,135.6609226,validation
MG_1051,78.85189893,validation
MG_1073,106.7964109,validation
MG_1076,121.0183442,validation
MG_1085,83.76415626,validation
MG_1102,99.8535783,validation
MG_1112,78.79963297,validation
MG_1119,96.08931569,validation
MG_1120,122.9409246,validation
MG_1123,79.66093107,validation
MG_1125,96.13060601,validation
MG_1128,86.08673655,validation
MG_1138,90.70867134,validation
MG_1148,83.37705954,validation
MG_1149,87.10092995,validation
MG_1155,103.7125404,validation
MG_1157,63.28451551,validation
MG_1158,82.68235175,validation
MG_1160,82.22863999,validation
MG_1169,93.65447735,validation
MG_1176,73.48028683,validation
MG_1191,77.05447985,validation
MG_1201,86.7177042,validation
MG_1218,103.3873791,validation
MG_1222,117.6067318,validation
MG_1237,114.6828613,validation
MG_1251,77.04931856,validation
MG_1269,108.5645132,validation
MG_1285,82.12286618,validation
MG_1311,85.36637366,validation
MG_1333,80.96028571,validation
MG_1335,61.72973665,validation
MG_1336,78.6312538,validation
MG_1396,83.08286604,validation
MG_1402,64.04543712,validation
MG_1403,51.43461051,validation
MG_1418,67.11770715,validation
MG_1429,102.6931857,validation
MG_1442,104.0209274,validation
MG_1446,76.46070209,validation
MG_1457,65.71263582,validation
MG_1479,80.79125348,validation
MG_1485,78.13835065,validation
MG_1495,74.72157697,validation
MG_1502,92.26480014,validation
MG_1509,66.65448141,validation
MG_167,93.41217376,validation
MG_180,92.74480007,validation
MG_183,84.6544787,validation
MG_200,97.15254134,validation
MG_210,65.36157838,validation
MG_222,98.91871336,validation
MG_223,109.0493137,validation
MG_234,81.84673719,validation
MG_245,103.9086694,validation
MG_252,100.7422182,validation
MG_260,97.73060577,validation
MG_261,77.64802814,validation
MG_266,85.08028509,validation
MG_271,98.83627063,validation
MG_272,51.77553995,validation
MG_284,80.59772959,validation
MG_297,91.93576793,validation
MG_302,91.28931641,validation
MG_329,104.8067337,validation
MG_341,88.32415557,validation
MG_365,81.78222107,validation
MG_377,91.71125183,validation
MG_382,87.67383309,validation
MG_409,89.99383275,validation
MG_412,105.7822175,validation
MG_425,93.80286442,validation
MG_427,86.308672,validation
MG_445,95.43899321,validation
MG_446,97.22738004,validation
MG_463,93.42609029,validation
MG_472,100.533186,validation
MG_474,97.52415419,validation
MG_484,85.78480111,validation
MG_487,94.83512233,validation
MG_488,98.95383139,validation
MG_489,91.35125189,validation
MG_495,74.78867373,validation
MG_500,110.9228618,validation
MG_501,98.18737989,validation
MG_505,97.61447675,validation
MG_519,78.88673763,validation
MG_526,81.38351145,validation
MG_53,115.6725386,validation
MG_537,108.306088,validation
MG_545,95.46092869,validation
MG_567,95.6170577,validation
MG_588,80.54795848,validation
MG_600,103.9241532,validation
MG_606,91.44415511,validation
MG_61,82.15383392,validation
MG_65,120.9202797,validation
MG_653,71.09835171,validation
MG_662,79.64931817,validation
MG_665,92.82996134,validation
MG_67,76.07899612,validation
MG_672,87.45447828,validation
MG_676,90.76286488,validation
MG_70,91.66350991,validation
MG_713,66.00673957,validation
MG_719,89.97318758,validation
MG_728,75.82093164,validation
MG_740,65.19899776,validation
MG_744,79.8415762,validation
MG_756,117.6029137,validation
MG_773,96.08931569,validation
MG_789,95.77085653,validation
MG_790,105.1628627,validation
MG_808,101.7409277,validation
MG_818,84.30093037,validation
MG_822,99.98737962,validation
MG_840,104.8893144,validation
MG_841,77.29447981,validation
MG_844,78.41447964,validation
MG_845,81.69964044,validation
MG_865,80.44544708,validation
MG_867,101.3034458,validation
MG_868,111.4441521,validation
MG_869,81.44467273,validation
MG_875,85.24728972,validation
MG_885,70.26480345,validation
MG_886,103.1860888,validation
MG_889,69.51311125,validation
MG_907,106.6131851,validation
MG_913,90.05060692,validation
MG_943,86.04028495,validation
MG_945,67.5989974,validation
MG_953,85.55993711,validation
MG_966,59.91383406,validation
MG_977,103.83125,validation
MG_986,97.01834781,validation
MG_995,88.99770386,validation
