,EW,group
MG_257,95.93447701,training
MG_290,112.7499583,training
MG_304,102.9486695,training
MG_1437,104.4815725,training
MG_236,69.24286812,training
MG_169,103.0570566,training
MG_625,94.23512242,training
MG_967,80.46480192,training
MG_356,75.78996391,training
MG_532,113.384797,training
MG_637,97.07254135,training
MG_224,101.8106052,training
MG_535,50.58845315,training
MG_1428,91.1282047,training
MG_1099,84.88673673,training
MG_742,110.6957651,training
MG_94,93.71770315,training
MG_226,102.7241534,training
MG_703,86.63641389,training
MG_335,97.38245942,training
MG_632,90.70996166,training
MG_1453,93.58609026,training
MG_51,111.7667327,training
MG_296,97.96802508,training
MG_679,93.16286452,training
MG_1009,102.0961417,training
MG_1427,85.71125274,training
MG_1132,90.32931656,training
MG_1226,92.37318722,training
MG_1043,66.89190073,training
MG_622,77.91125391,training
MG_1416,103.9035081,training
MG_59,63.47749829,training
MG_783,95.00504509,training
MG_118,116.0673772,training
MG_1175,80.38867289,training
MG_523,92.37318722,training
MG_898,81.5189953,training
MG_300,91.0002842,training
MG_609,88.30092977,training
MG_1399,106.0712497,training
MG_318,97.77705737,training
MG_1422,91.01834871,training
MG_782,73.89577064,training
MG_685,94.90738039,training
MG_506,82.10307283,training
MG_414,81.2480276,training
MG_673,125.2051823,training
MG_1449,89.95770371,training
MG_826,95.06738036,training
MG_1312,109.722862,training
MG_1126,105.2815724,training
MG_656,75.65318973,training
MG_119,105.4106046,training
MG_1213,53.86556066,training
MG_309,72.21319025,training
MG_193,94.73447719,training
MG_649,72.96157724,training
MG_1029,99.41060551,training
MG_1206,114.6312484,training
MG_1200,70.96480624,training
MG_476,101.1277665,training
MG_121,103.9809274,training
MG_1111,60.45061138,training
MG_716,78.81671324,training
MG_1095,131.8931813,training
MG_1109,95.4325416,training
MG_592,116.3215707,training
MG_1241,85.69963984,training
MG_1230,94.03383213,training
MG_1232,142.2467281,training
MG_1295,88.9770587,training
MG_256,88.32673622,training
MG_212,90.73576811,training
MG_796,93.0235097,training
MG_1326,75.83641551,training
MG_205,108.4093138,training
MG_1016,72.81706113,training
MG_565,81.03512441,training
MG_895,92.71383233,training
MG_480,111.2789908,training
MG_976,87.92157499,training
MG_88,83.30738213,training
MG_621,111.3447973,training
MG_1471,94.04028375,training
MG_854,76.1873832,training
MG_439,93.23254193,training
MG_552,91.16544546,training
MG_578,87.32931701,training
MG_561,98.27770246,training
MG_1129,77.82093134,training
MG_464,98.91899269,training
MG_508,131.5009233,training
MG_497,103.1925404,training
MG_358,85.45834955,training
MG_903,87.86738144,training
MG_1248,116.1873772,training
MG_292,79.21439433,training
MG_1267,129.7036749,training
MG_920,102.6441534,training
MG_725,87.57834923,training
MG_1178,65.000429,training
MG_380,67.76931995,training
MG_1075,86.00544624,training
MG_987,65.68932027,training
MG_1034,119.6351186,training
MG_1145-1-1,98.87899269,training
MG_958,104.9770563,training
MG_1161,91.78283677,training
MG_387,74.6080286,training
MG_364,99.1601689,training
MG_273,78.9022215,training
MG_1341,70.92286787,training
MG_281,102.2170567,training
MG_330,81.54996304,training
MG_1419,50.35512902,training
MG_1170,76.91162876,training
MG_1065,89.37189735,training
MG_933,70.02996477,training
MG_325,91.54480025,training
MG_479,74.50738346,training
MG_370,69.01965341,training
MG_518,95.17060616,training
MG_1340,116.6776997,training
MG_1135,80.43627391,training
MG_287,74.37330321,training
MG_1137,95.42350934,training
MG_1054,69.2248036,training
MG_1038,84.16802716,training
MG_944,83.64544659,training
MG_198,68.37319083,training
MG_757,84.72634947,training
MG_1013,82.77318866,training
MG_734,78.20028613,training
MG_1497,96.63497852,training
MG_1450,72.20645177,training
MG_314,96.23125116,training
MG_1286,94.69576751,training
MG_459,91.28931641,training
MG_812,96.84028332,training
MG_1090,91.05447774,training
MG_853,122.382215,training
MG_349,73.39125459,training
MG_784,149.6944689,training
MG_383,106.4944754,training
MG_544,125.916408,training
MG_1188,113.0712486,training
MG_749,79.08802793,training
MG_1208,94.23641274,training
MG_731,77.3616547,training
MG_1133,83.85964011,training
MG_350,93.92931602,training
MG_811,100.0996377,training
MG_697,86.47383327,training
MG_105,90.98480033,training
MG_275,58.45340136,training
MG_1435,84.5523037,training
MG_298,122.4118924,training
MG_881,81.71512431,training
MG_1001,110.783507,training
MG_235,85.62222049,training
MG_550,73.03383529,training
MG_1313,84.21318845,training
MG_543,121.1499571,training
